Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
BR1,One Bedroom,90,"1,055",975,"1,050","1,150"
BR1,Two Bedrooms,160,"1,275","1,150","1,273","1,400"
BR1,Three Bedrooms,60,"1,563","1,363","1,550","1,695"
BR1,Four or More Bedrooms,20,"2,470","2,000","2,275","3,050"
BR2,One Bedroom,70,"1,018",925,"1,000","1,100"
BR2,Two Bedrooms,170,"1,311","1,200","1,300","1,400"
BR2,Three Bedrooms,60,"1,671","1,475","1,600","1,800"
BR2,Four or More Bedrooms,30,"2,417","1,700","2,000","2,700"
BR3,One Bedroom,170,997,950,"1,000","1,033"
BR3,Two Bedrooms,200,"1,276","1,200","1,298","1,350"
BR3,Three Bedrooms,60,"1,650","1,500","1,600","1,760"
BR3,Four or More Bedrooms,20,"2,371","1,900","2,100","2,750"
BR4,One Bedroom,10,919,850,900,950
BR4,Two Bedrooms,20,"1,181","1,100","1,150","1,250"
BR4,Three Bedrooms,10,"1,650","1,650","1,750","1,800"
BR4,Four or More Bedrooms,10,"2,211","2,100","2,150","2,250"
BR5,One Bedroom,20,965,850,963,"1,025"
BR5,Two Bedrooms,70,"1,112","1,000","1,108","1,220"
BR5,Three Bedrooms,50,"1,447","1,300","1,400","1,560"
BR5,Four or More Bedrooms,10,"1,946","1,825","1,925","2,000"
BR6,One Bedroom,60,"1,004",900,"1,019","1,100"
BR6,Two Bedrooms,80,"1,191","1,100","1,200","1,300"
BR6,Three Bedrooms,50,"1,564","1,475","1,560","1,700"
BR6,Four or More Bedrooms,50,"2,067","1,800","1,975","2,200"
BR7,One Bedroom,20,917,875,900,950
BR7,Two Bedrooms,50,"1,402","1,180","1,350","1,500"
BR7,Three Bedrooms,30,"1,742","1,600","1,700","1,750"
BR7,Four or More Bedrooms,30,"2,849","1,950","2,500","3,250"
CR0,One Bedroom,320,980,900,950,"1,050"
CR0,Two Bedrooms,330,"1,225","1,140","1,200","1,300"
CR0,Three Bedrooms,100,"1,412","1,300","1,400","1,500"
CR0,Four or More Bedrooms,20,"2,066","1,750","1,800","1,950"
CR2,One Bedroom,50,914,850,900,950
CR2,Two Bedrooms,120,"1,191","1,100","1,200","1,250"
CR2,Three Bedrooms,40,"1,450","1,325","1,400","1,650"
CR2,Four or More Bedrooms,20,"1,906","1,800","1,900","2,025"
CR4,One Bedroom,40,983,900,"1,000","1,100"
CR4,Two Bedrooms,40,"1,149","1,050","1,155","1,300"
CR4,Three Bedrooms,30,"1,507","1,400","1,525","1,650"
CR4,Four or More Bedrooms,10,"1,858","1,725","1,775","2,050"
CR5,One Bedroom,10,943,838,913,"1,070"
CR5,Two Bedrooms,20,"1,237","1,150","1,250","1,300"
CR5,Three Bedrooms,10,"1,439","1,325","1,425","1,565"
CR5,Four or More Bedrooms,10,"2,095","1,873","2,000","2,200"
CR7,One Bedroom,20,947,875,925,"1,050"
CR7,Two Bedrooms,30,"1,189","1,135","1,250","1,300"
CR7,Three Bedrooms,30,"1,487","1,375","1,547","1,600"
CR7,Four or More Bedrooms,10,"1,910","1,750","1,850","1,900"
CR8,One Bedroom,40,946,855,940,995
CR8,Two Bedrooms,70,"1,228","1,100","1,200","1,313"
CR8,Three Bedrooms,30,"1,487","1,400","1,550","1,600"
CR8,Four or More Bedrooms,30,"2,028","1,750","1,900","2,300"
DA1,One Bedroom,60,792,700,780,900
DA1,Two Bedrooms,40,"1,053",950,"1,050","1,100"
DA1,Three Bedrooms,30,"1,179",970,"1,200","1,350"
DA14,One Bedroom,20,916,870,900,950
DA14,Two Bedrooms,60,"1,149","1,050","1,150","1,250"
DA14,Three Bedrooms,20,"1,331","1,275","1,298","1,450"
DA14,Four or More Bedrooms,10,"2,516","1,550","1,800","2,525"
DA15,One Bedroom,20,936,850,950,"1,000"
DA15,Two Bedrooms,30,"1,207","1,100","1,200","1,350"
DA15,Three Bedrooms,10,"1,426","1,350","1,438","1,525"
DA15,Four or More Bedrooms,10,"1,914","1,700","1,750","2,100"
DA16,One Bedroom,10,893,850,875,925
DA16,Two Bedrooms,20,"1,220","1,100","1,213","1,350"
DA16,Three Bedrooms,30,"1,368","1,275","1,400","1,450"
DA16,Four or More Bedrooms,10,"1,688","1,695","1,700","1,750"
DA17,One Bedroom,20,865,825,875,925
DA17,Two Bedrooms,30,"1,088","1,000","1,100","1,175"
DA17,Three Bedrooms,10,"1,316","1,200","1,300","1,400"
DA18,Three Bedrooms,20,"1,135","1,080","1,141","1,200"
DA18,Four or More Bedrooms,10,"1,289","1,245","1,285","1,349"
DA5,One Bedroom,10,"1,052",898,"1,000","1,200"
DA5,Two Bedrooms,30,"1,151","1,050","1,200","1,250"
DA5,Three Bedrooms,10,"1,506","1,450","1,500","1,550"
DA5,Four or More Bedrooms,10,"2,086","1,800","2,100","2,200"
DA6,One Bedroom,20,875,850,900,925
DA6,Two Bedrooms,20,"1,139","1,090","1,113","1,250"
DA6,Three Bedrooms,10,"1,357","1,200","1,363","1,550"
DA7,Two Bedrooms,40,"1,072","1,000","1,075","1,110"
DA7,Three Bedrooms,20,"1,400","1,300","1,400","1,450"
DA7,Four or More Bedrooms,10,"1,727","1,500","1,695","1,950"
DA8,One Bedroom,20,776,750,750,825
DA8,Two Bedrooms,50,"1,055",950,"1,050","1,150"
DA8,Three Bedrooms,20,"1,300","1,250","1,300","1,350"
DA8,Four or More Bedrooms,10,"1,497","1,450","1,500","1,650"
E1,One Bedroom,180,"1,668","1,402","1,590","1,737"
E1,Two Bedrooms,210,"2,111","1,700","1,898","2,383"
E1,Three Bedrooms,50,"2,404","2,050","2,300","2,512"
E1,Four or More Bedrooms,20,"2,840","2,395","2,600","3,077"
E10,One Bedroom,60,"1,083",975,"1,100","1,150"
E10,Two Bedrooms,50,"1,322","1,200","1,300","1,400"
E10,Three Bedrooms,30,"1,675","1,500","1,585","1,850"
E10,Four or More Bedrooms,20,"2,011","1,788","2,000","2,150"
E11,One Bedroom,100,"1,098","1,000","1,100","1,200"
E11,Two Bedrooms,150,"1,335","1,250","1,300","1,425"
E11,Three Bedrooms,50,"1,665","1,550","1,638","1,800"
E11,Four or More Bedrooms,20,"2,200","2,050","2,192","2,250"
E12,One Bedroom,20,"1,050",925,"1,050","1,138"
E12,Two Bedrooms,40,"1,292","1,200","1,300","1,350"
E12,Three Bedrooms,40,"1,529","1,350","1,600","1,650"
E12,Four or More Bedrooms,10,"1,812","1,750","1,825","1,950"
E13,One Bedroom,60,"1,129","1,050","1,111","1,150"
E13,Two Bedrooms,70,"1,342","1,295","1,350","1,450"
E13,Three Bedrooms,50,"1,664","1,600","1,700","1,754"
E13,Four or More Bedrooms,10,"1,946","1,800","1,900","2,000"
E14,One Bedroom,210,"1,471","1,360","1,450","1,560"
E14,Two Bedrooms,270,"1,801","1,593","1,744","1,950"
E14,Three Bedrooms,90,"2,176","1,895","2,112","2,332"
E14,Four or More Bedrooms,10,"3,109","2,557","2,817","3,467"
E15,One Bedroom,90,"1,207","1,100","1,200","1,300"
E15,Two Bedrooms,150,"1,502","1,400","1,500","1,600"
E15,Three Bedrooms,60,"1,804","1,625","1,760","1,900"
E15,Four or More Bedrooms,30,"2,054","1,875","2,000","2,200"
E16,One Bedroom,140,"1,355","1,318","1,400","1,450"
E16,Two Bedrooms,210,"1,681","1,573","1,741","1,802"
E16,Three Bedrooms,80,"1,966","1,700","2,088","2,170"
E16,Four or More Bedrooms,10,"2,386","1,900","2,600","2,817"
E17,One Bedroom,200,"1,196","1,080","1,150","1,300"
E17,Two Bedrooms,310,"1,442","1,300","1,400","1,630"
E17,Three Bedrooms,110,"1,714","1,525","1,650","1,850"
E17,Four or More Bedrooms,40,"2,004","1,800","2,000","2,300"
E18,One Bedroom,60,"1,113","1,050","1,100","1,200"
E18,Two Bedrooms,100,"1,359","1,250","1,350","1,460"
E18,Three Bedrooms,30,"1,639","1,475","1,665","1,800"
E18,Four or More Bedrooms,10,"2,560","2,200","2,450","2,550"
E1W,One Bedroom,60,"1,517","1,358","1,495","1,625"
E1W,Two Bedrooms,70,"1,944","1,647","1,857","2,238"
E1W,Three Bedrooms,20,"3,576","2,297","2,708","4,117"
E1W,Four or More Bedrooms,10,"3,517","3,098","3,207","3,467"
E2,One Bedroom,60,"1,616","1,402","1,650","1,777"
E2,Two Bedrooms,110,"1,982","1,750","1,989","2,151"
E2,Three Bedrooms,40,"2,542","2,200","2,482","2,850"
E2,Four or More Bedrooms,40,"3,367","3,100","3,514","3,683"
E20,One Bedroom,10,"1,700","1,575","1,750","1,775"
E20,Two Bedrooms,10,"1,860","1,800","1,800","1,850"
E3,One Bedroom,90,"1,331","1,300","1,338","1,375"
E3,Two Bedrooms,120,"1,648","1,500","1,623","1,700"
E3,Three Bedrooms,50,"2,168","1,950","2,180","2,300"
E3,Four or More Bedrooms,20,"2,784","2,383","2,600","3,250"
E4,One Bedroom,70,977,900,950,"1,025"
E4,Two Bedrooms,80,"1,206","1,125","1,200","1,280"
E4,Three Bedrooms,50,"1,508","1,425","1,500","1,600"
E4,Four or More Bedrooms,10,"1,860","1,700","1,850","1,950"
E5,One Bedroom,60,"1,345","1,250","1,305","1,450"
E5,Two Bedrooms,50,"1,609","1,473","1,600","1,725"
E5,Three Bedrooms,30,"2,072","1,750","2,025","2,300"
E5,Four or More Bedrooms,20,"2,886","2,700","2,900","3,000"
E6,One Bedroom,50,"1,066","1,000","1,100","1,130"
E6,Two Bedrooms,60,"1,265","1,200","1,300","1,350"
E6,Three Bedrooms,50,"1,599","1,500","1,600","1,675"
E6,Four or More Bedrooms,20,"1,972","1,800","1,925","2,050"
E7,One Bedroom,30,"1,070","1,000","1,050","1,150"
E7,Two Bedrooms,40,"1,322","1,250","1,300","1,400"
E7,Three Bedrooms,40,"1,618","1,500","1,625","1,750"
E7,Four or More Bedrooms,20,"2,036","1,850","2,000","2,100"
E8,One Bedroom,100,"1,601","1,450","1,603","1,709"
E8,Two Bedrooms,160,"1,739","1,426","1,675","2,047"
E8,Three Bedrooms,50,"2,472","2,150","2,598","2,778"
E8,Four or More Bedrooms,30,"3,103","2,747","3,328","3,550"
E9,One Bedroom,50,"1,328","1,250","1,300","1,400"
E9,Two Bedrooms,80,"1,652","1,500","1,600","1,750"
E9,Three Bedrooms,30,"1,994","1,800","2,000","2,190"
E9,Four or More Bedrooms,10,"2,990","2,700","2,867","3,079"
EC1V,One Bedroom,10,"1,666","1,380","1,712","1,850"
EC1V,Two Bedrooms,10,"2,220","1,842","2,050","2,800"
EC2A,Two Bedrooms,10,"2,459","1,850","2,450","2,800"
EN1,One Bedroom,70,967,900,950,"1,050"
EN1,Two Bedrooms,80,"1,272","1,200","1,275","1,350"
EN1,Three Bedrooms,30,"1,545","1,425","1,500","1,650"
EN1,Four or More Bedrooms,10,"2,081","1,800","2,200","2,225"
EN2,One Bedroom,30,"1,002",950,"1,000","1,050"
EN2,Two Bedrooms,70,"1,337","1,250","1,300","1,425"
EN2,Three Bedrooms,30,"1,551","1,440","1,475","1,675"
EN2,Four or More Bedrooms,10,"2,083","1,650","1,950","2,200"
EN3,One Bedroom,40,967,865,950,"1,100"
EN3,Two Bedrooms,50,"1,267","1,200","1,293","1,350"
EN3,Three Bedrooms,50,"1,503","1,400","1,500","1,600"
EN3,Four or More Bedrooms,10,"1,595","1,450","1,555","1,750"
EN4,One Bedroom,20,"1,090","1,000","1,088","1,100"
EN4,Two Bedrooms,70,"1,261","1,122","1,250","1,350"
EN4,Three Bedrooms,20,"1,735","1,550","1,700","2,000"
EN4,Four or More Bedrooms,10,"2,195","1,650","2,175","2,300"
EN5,One Bedroom,40,"1,049",960,"1,050","1,130"
EN5,Two Bedrooms,50,"1,316","1,200","1,300","1,420"
EN5,Three Bedrooms,10,"1,689","1,495","1,750","1,800"
EN5,Four or More Bedrooms,20,"2,349","1,977","2,350","2,450"
HA0,One Bedroom,40,"1,127","1,050","1,100","1,200"
HA0,Two Bedrooms,50,"1,369","1,275","1,400","1,425"
HA0,Three Bedrooms,60,"1,819","1,700","1,800","1,850"
HA0,Four or More Bedrooms,10,"2,336","2,000","2,250","2,500"
HA1,One Bedroom,40,"1,102","1,000","1,100","1,175"
HA1,Two Bedrooms,110,"1,333","1,250","1,333","1,400"
HA1,Three Bedrooms,20,"1,628","1,550","1,650","1,700"
HA1,Four or More Bedrooms,10,"1,791","1,500","1,790","2,050"
HA2,One Bedroom,40,"1,043","1,000","1,050","1,115"
HA2,Two Bedrooms,60,"1,225","1,138","1,250","1,300"
HA2,Three Bedrooms,60,"1,577","1,500","1,563","1,650"
HA2,Four or More Bedrooms,20,"1,899","1,750","1,850","2,000"
HA3,One Bedroom,50,977,900,975,"1,050"
HA3,Two Bedrooms,80,"1,290","1,200","1,281","1,350"
HA3,Three Bedrooms,120,"1,667","1,550","1,650","1,750"
HA3,Four or More Bedrooms,50,"2,060","1,800","1,900","2,200"
HA4,One Bedroom,60,"1,033",950,"1,050","1,125"
HA4,Two Bedrooms,180,"1,245","1,175","1,250","1,350"
HA4,Three Bedrooms,60,"1,598","1,450","1,600","1,695"
HA4,Four or More Bedrooms,20,"2,044","1,800","1,900","2,500"
HA5,One Bedroom,20,"1,027",950,"1,025","1,150"
HA5,Two Bedrooms,60,"1,290","1,200","1,300","1,400"
HA5,Three Bedrooms,20,"1,676","1,375","1,650","1,800"
HA5,Four or More Bedrooms,10,"2,240","1,900","2,200","2,550"
HA6,One Bedroom,30,948,850,925,"1,025"
HA6,Two Bedrooms,40,"1,231",950,"1,250","1,425"
HA6,Three Bedrooms,10,"1,614","1,500","1,625","1,850"
HA6,Four or More Bedrooms,10,"2,706","2,450","2,550","2,900"
HA7,One Bedroom,50,"1,188","1,100","1,200","1,250"
HA7,Two Bedrooms,90,"1,496","1,350","1,450","1,600"
HA7,Three Bedrooms,50,"1,786","1,650","1,750","1,863"
HA7,Four or More Bedrooms,20,"2,365","1,950","2,300","2,500"
HA8,One Bedroom,20,"1,035",975,"1,050","1,195"
HA8,Two Bedrooms,50,"1,343","1,200","1,320","1,450"
HA8,Three Bedrooms,50,"1,691","1,600","1,700","1,800"
HA8,Four or More Bedrooms,20,"2,326","1,878","2,150","2,525"
HA9,One Bedroom,30,"1,092","1,000","1,050","1,148"
