Postcode_x,Postcode_y
BR1,BR13LQ
BR2,BR29EQ
BR3,BR33NP
BR4,BR40SQ
BR5,BR52EP
BR6,BR69TP
BR7,BR75EY
BR8,BR87AY
CM0,CM07EE
CM1,CM12AN
CM11,CM112TX
CM12,CM129EG
CM13,CM132JB
CM14,CM144QP
CM15,CM150SE
CM16,CM164QJ
CM17,CM179RT
CM18,CM186QZ
CM19,CM195NT
CM2,CM29GH
CM20,CM202QL
CM21,CM210DZ
CM22,CM226NB
CM23,CM232LD
CM24,CM248RJ
CM3,CM34PW
CM4,CM40DX
CM5,CM50HQ
CM6,CM63TX
CM7,CM75DF
CM77,CM778PL
CM8,CM82DE
CM9,CM94YX
CM92,CM921LA
CM98,CM981AA
CM99,CM992AB
CR0,CR05QQ
CR2,CR20DL
CR3,CR36JH
CR4,CR41YG
CR44,CR441AJ
CR5,CR51RE
CR6,CR69EG
CR7,CR77DT
CR8,CR82EP
CR9,CR91ES
CR90,CR909BA
DA1,DA12HZ
DA10,DA100ER
DA11,DA118RN
DA12,DA124EU
DA13,DA130JD
DA14,DA144QW
DA15,DA158WW
DA16,DA163AT
DA17,DA175QL
DA18,DA184HQ
DA2,DA26PS
DA3,DA38DS
DA4,DA49JJ
DA5,DA53QE
DA6,DA67AN
DA7,DA75AE
DA8,DA83BD
DA9,DA99WY
E1,E12DP
E10,E105EQ
E11,E113AD
E12,E126EJ
E13,E130AS
E14,E145AR
E15,E154PN
E16,E163BZ
E17,E174SA
E18,E182BD
E1W,E1W3DD
E2,E27AJ
E20,E201DF
E3,E32HL
E4,E49SS
E5,E59SQ
E6,E63LT
E7,E78AA
E8,E83DR
E9,E95BD
E98,E981AD
EC1A,EC1A9LY
EC1M,EC1M4NB
EC1N,EC1N8JR
EC1P,EC1P1AD
EC1R,EC1R0LP
EC1V,EC1V8AZ
EC1Y,EC1Y8NR
EC2A,EC2A4SJ
EC2M,EC2M7EB
EC2N,EC2N2HE
EC2P,EC2P2AP
EC2R,EC2R5AL
EC2V,EC2V7NQ
EC2Y,EC2Y8BD
EC3A,EC3A8BH
EC3M,EC3M7JJ
EC3N,EC3N2JY
EC3P,EC3P3AS
EC3R,EC3R8DU
EC3V,EC3V9AE
EC4A,EC4A3BF
EC4M,EC4M8AD
EC4N,EC4N4TQ
EC4P,EC4P4BB
EC4R,EC4R2GA
EC4V,EC4V4BU
EC4Y,EC4Y7DL
EN1,EN13SP
EN10,EN106QF
EN11,EN118JE
EN2,EN28BP
EN3,EN35EE
EN4,EN49RT
EN5,EN52EP
EN6,EN61HL
EN7,EN76TA
EN77,EN771AA
EN8,EN88LA
EN9,EN92AJ
HA0,HA02XT
HA1,HA11EQ
HA2,HA20RS
HA3,HA38PL
HA4,HA49RZ
HA5,HA52XP
HA6,HA61AD
HA7,HA72RG
HA8,HA87AN
HA9,HA98EG
IG1,IG11DG
IG10,IG101TD
IG11,IG117RA
IG2,IG26PU
IG3,IG39XQ
IG4,IG45HW
IG5,IG50BL
IG6,IG63HA
IG7,IG76NG
IG8,IG87QL
IG9,IG95BN
KT1,KT12UJ
KT10,KT109PW
KT11,KT112HP
KT12,KT121RG
KT13,KT139BN
KT14,KT146HA
KT15,KT151LR
KT16,KT169LU
KT17,KT173BL
KT18,KT185NQ
KT19,KT198FQ
KT2,KT26HF
KT20,KT205SE
KT21,KT212QS
KT22,KT227FJ
KT23,KT233QB
KT24,KT245AX
KT3,KT33PR
KT4,KT48DX
KT5,KT58NQ
KT6,KT66LF
KT7,KT70DF
KT8,KT82HY
KT9,KT92ET
N1,N18QL
N10,N101PR
N11,N111RP
N12,N128DB
N13,N135JY
N14,N145PW
N15,N155HG
N16,N160ND
N17,N176RY
N18,N182XS
N19,N193EG
N1C,N1C4DR
N1P,N1P1GL
N2,N20NJ
N20,N200BF
N21,N211BU
N22,N225NL
N3,N32JG
N4,N44LT
N5,N51QJ
N6,N65EX
N7,N79RF
N8,N88NH
N81,N811DA
N9,N97AS
NW1,NW17QH
NW10,NW104EJ
NW11,NW117EU
NW1W,NW1W7AA
NW2,NW26SH
NW26,NW269AS
NW3,NW35NX
NW4,NW44AE
NW5,NW53EW
NW6,NW64JU
NW7,NW71QG
NW8,NW89JG
NW9,NW90UH
RM1,RM14GS
RM10,RM108HB
RM11,RM112JS
RM12,RM124YB
RM13,RM138HU
RM14,RM143HR
RM15,RM155HE
RM16,RM162NJ
RM17,RM175ES
RM18,RM188JT
RM19,RM191RR
RM2,RM26AD
RM20,RM203JE
RM3,RM38NS
RM4,RM41EL
RM5,RM53FZ
RM6,RM65TU
RM7,RM79ES
RM8,RM83QU
RM9,RM96EU
SE1,SE14XX
SE10,SE109PB
SE11,SE116HR
SE12,SE129JN
SE13,SE136DD
SE14,SE145QF
SE15,SE155HD
SE16,SE162TU
SE17,SE172HF
SE18,SE187JU
SE19,SE193BA
SE1P,SE1P4AA
SE2,SE29ER
SE20,SE208LJ
SE21,SE218AA
SE22,SE229EL
SE23,SE232DD
SE24,SE240HD
SE25,SE255AJ
SE26,SE264LF
SE27,SE270DL
SE28,SE288SN
SE3,SE30PW
SE4,SE42SQ
SE5,SE58QU
SE6,SE62LT
SE7,SE77PG
SE8,SE85LZ
SE9,SE95AF
SM1,SM14EU
SM2,SM26QA
SM3,SM39TX
SM4,SM45RG
SM5,SM52PW
SM6,SM68SP
SM7,SM72NL
SW10,SW100JX
SW11,SW112DR
SW12,SW129AW
SW13,SW139RH
SW14,SW148AE
SW15,SW156XF
SW16,SW163PX
SW17,SW177EW
SW18,SW184DJ
SW19,SW197LB
SW1A,SW1A2BE
SW1E,SW1E5HL
SW1H,SW1H0BF
SW1P,SW1P4AP
SW1V,SW1V2HA
SW1W,SW1W9QG
SW1X,SW1X9EU
SW1Y,SW1Y4PD
SW2,SW22AW
SW20,SW208RE
SW3,SW33TH
SW4,SW47BB
SW5,SW50EX
SW6,SW64HL
SW7,SW75BD
SW8,SW84RT
SW9,SW90BB
SW95,SW959AA
TN1,TN12PS
TN10,TN104PT
TN11,TN119BS
TN12,TN129GY
TN13,TN131DL
TN14,TN146HD
TN15,TN156FA
TN16,TN162EH
TN17,TN173HH
TN18,TN185DB
TN19,TN197BE
TN2,TN24UE
TN20,TN206EJ
TN21,TN218YP
TN22,TN222AJ
TN23,TN234RA
TN24,TN248DQ
TN25,TN255NQ
TN26,TN263PW
TN27,TN278PB
TN28,TN288LJ
TN29,TN299SE
TN3,TN39ET
TN30,TN307FB
TN31,TN316XE
TN32,TN325NG
TN33,TN330FW
TN34,TN342EF
TN35,TN354LG
TN36,TN364AD
TN37,TN377DX
TN38,TN380RY
TN39,TN394JQ
TN4,TN49XN
TN40,TN401SU
TN5,TN56HR
TN6,TN62HH
TN7,TN74AH
TN8,TN85BQ
TN9,TN91SH
TW1,TW13HJ
TW10,TW107AB
TW11,TW119AL
TW12,TW123BD
TW13,TW137FD
TW14,TW149RY
TW15,TW153LU
TW16,TW166BE
TW17,TW178AZ
TW18,TW182EF
TW19,TW196AR
TW2,TW26ND
TW20,TW209RN
TW3,TW31EA
TW4,TW46AZ
TW5,TW59EF
TW6,TW61EW
TW7,TW76PB
TW8,TW80PF
TW9,TW92DR
UB1,UB12NR
UB10,UB109AA
UB11,UB111DB
UB18,UB187AT
UB2,UB24ED
UB3,UB31BB
UB4,UB40QS
UB5,UB55AG
UB6,UB68AY
UB7,UB77NQ
UB8,UB82TA
UB9,UB95FP
W10,W106BD
W11,W114AT
W12,W120PH
W13,W130NL
W14,W148XD
W1A,W1A0BL
W1B,W1B3BR
W1C,W1C2JR
W1D,W1D3SD
W1F,W1F7NZ
W1G,W1G9TG
W1H,W1H2DY
W1J,W1J8PD
W1K,W1K2HP
W1S,W1S2EH
W1T,W1T4PP
W1U,W1U4BZ
W1W,W1W6RB
W2,W26HF
W3,W36SP
W4,W44LR
W5,W53SS
W6,W69HY
W7,W73BG
W8,W87RX
W9,W92DT
WC1A,WC1A2QP
WC1B,WC1B5BP
WC1E,WC1E7AU
WC1H,WC1H9PL
WC1N,WC1N1EH
WC1R,WC1R4AZ
WC1V,WC1V7EJ
WC1X,WC1X0LB
WC2A,WC2A3TP
WC2B,WC2B4BA
WC2E,WC2E8BE
WC2H,WC2H9NU
WC2N,WC2N4DN
WC2R,WC2R1JA
WD17,WD174YN
WD18,WD187ST
WD19,WD197BN
WD23,WD233LT
WD24,WD246NG
WD25,WD259FJ
WD3,WD37PG
WD4,WD48GF
WD5,WD50HX
WD6,WD61BD
WD7,WD77BD
WD99,WD991AA
